nps_score	checkin_date	checkout_date	created_at	source	order_id	hotel_name	pod_type	nps_review
10	2023-05-22 0:00:00	2023-05-23 0:00:00	2023-05-23 4:43:58	Android	10171683849697214	Bobocabin Ranca Upas	DELUXE CABIN 	Sangat menyenangkan menginap disini, stafnya ramah2, kamarnya nyaman, perlengkapan kamar mandi lengkap, bersih, dingin banget udara disini.. terimakasih bobocabin nexts nginep sini lagi pokoknya😁👍
10	2023-05-22 0:00:00	2023-05-23 0:00:00	2023-05-23 4:40:30	Android	10211684750291370	Bobobox Alun-Alun Malang	EARTH DOUBLE	Untuk toilet lebih baik menggunakan bidet
10	2023-05-22 0:00:00	2023-05-23 0:00:00	2023-05-23 4:40:05	iOS	10191684745186620	Bobocabin Cikole	Deluxe Cabin	Makanannya jangan mahal2 banget dong ka :( Kalo bisa ada paket bundling dengan breakfast
10	2023-05-21 23:00:00	2023-05-22 23:00:00	2023-05-23 4:18:50	iOS	10331684725941674	Bobocabin Ubud	Deluxe Cabin Hot Tub	Great concept and execution of a cabin log experience. The open jacuzzi was perfect, loved it.
10	2023-05-20 23:00:00	2023-05-22 23:00:00	2023-05-23 4:15:08	iOS	10231684561060916	Bobocabin Kintamani 	Deluxe Cabin	Akses jalannya yg gak bagus tapi terbayarkan oleh tempat nya sangat bagus dan nyaman
7	2023-05-21 23:00:00	2023-05-22 23:00:00	2023-05-23 4:08:20	iOS	10231678865406606	Bobocabin Kintamani 	Deluxe Cabin Hot Tub	Listening to special request and details, I asked for the honey moon package cake to say happy birthday but it said happy honey moon and the flower pedals also said honey moon. Our steam boat food there was a small dead roach in it, the vegetables were frozen not fresh. Our steak was still in the package and there were no scissors to open the package so it wasnt easy. There were no steak knives.
10	2023-05-22 0:00:00	2023-05-23 0:00:00	2023-05-23 4:04:09	Android	10171681876914964	Bobocabin Ranca Upas	STANDARD CABIN	Toilet bersih
10	2023-05-22 0:00:00	2023-05-23 0:00:00	2023-05-23 4:02:31	Android	10081684678036805	Bobobox Kota Tua	EARTH SINGLE	Nice place,sleep so well,kind staff,the ac cool,the toilet clean..
8	2023-05-22 0:00:00	2023-05-23 0:00:00	2023-05-23 3:35:12	Android	10091684738958757	Bobobox Kota Lama	EARTH SINGLE	Baik
10	2023-05-21 23:00:00	2023-05-22 23:00:00	2023-05-23 3:28:56	iOS	10231684715841305	Bobocabin Kintamani 	Deluxe Cabin	Tempat nyaman
